timestamp,​0x5c95842f9Db0a85315F90B4d6CD92CC93619e8E7,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x709C59829A5EA6783bbfA56C5C267fd71A0F214e,​0x8Cc5F8809Eaa7173567b8CC5AEb3B993e1C5Cfff,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xBfed949505faC872018ee70aD521840E9C05a3Ff,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x6e316492eD3d5Cba0d8940babC589989D7F59193,​0xD1b3dB7201D8C0c320aEe20E1a106c9b0812057d,​0x7059010320d07a47d2Ad54db88bB89Ea644C3e6F,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x728BbE9bbee3Af78Ad611315076621865950B344,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x8E86521b47D60cE041c9a63A7b8Bc2bAe959a1De,​0x78e8c455c998D5A023ce5df5296702bEad0b4cd1,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x2C38b7622241958DC0A097D405c468a9176418A3,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x6F601C6123187d4EEF2E5bb6Cd1B1A254B230B7f,​0x738696765dBcB15bbab8dC7b2255d5D30374E592,​0xf00667578c635ee6800Ca41204579B2B38EC8380,​0x8c7AD1C843edD4b24d3B66259Ee50B75D22d7612,​0x978aAD63FE35F7A72573c411C3dfF53608AaeaC9,​0x4a243aacbf35be0F4E9fbF254D25E4a01847B99D,​0xBb1e599e15f2bf248732ef060cadFFeB6363cC4C,​0xeD3fcdfA52464A97C60668e61A7739a54F099905,​0x986748F2eec2f0BEC5a85FBaC06F982ee4a91281,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0xEC11362CeC810985d0EBbd7b73451444985b369F,​0xAE320fFE3236062aC23450AA9840FB4cE168a715,​0xf417D6846c654EcDC5D6C2e65811F984B4dEF9a3,​0x480ea104fF7063Ed0Af41c98d8EF2457afE2a41c,​0x248d09B842142eD5E4ec79d95e62bAA46BFB7738,​0x216f2541F4B612218A2fE17c75a89FACE8F86835,​0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xb174Ef1aA446998cf6156Fba8664cEEddd7fB211,​0x97deC872013f6B5fB443861090ad931542878126,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xc640caba272414689b21EbCd60d97b912359504D,​0xA990a4e5fe3040B1a8B30D6eFe9c043f4aEcdb42,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x8dDDde2F6094ce6b365eb186AAaFE22af3b137F5,​0x397d34604F2b2227F4fb0bFEC2e48D4E85C5aA67,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x90a3D8C8a9247e409F455C4F7DC4092596C223A2,​0x17cBEc31b153242e5C6F42Aa80d3807Bd44e6db7,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xe8EfCF0ff27e9D2150598273716914096d22c246,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0x1F8Ad723A8e141a07805a39Ff828F6e9d46865D4,​0xB1dEbeF06e45178F53CD15741e21163461D30FFC,​0x00923B9a074762B93650716333B3E1473A15048e,​0xF0DC29E5fE8BC9490d67b9ab0879729DD03f0c18,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0x5adB8d52970CfD8796Bf0FB0b726E4F8Ed406446,​0x1f8A6d8185b76F5ac08f335610a2390DAb3225a8,​0x03882e4Dc1B6d5521B3403cb686D5B9b0157daBd,​0xCA2AA37436c0Ca460476221590eE4573B21dF42E,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x00A2aEbC7E233cd2fFE5AB5856F90f0ad2Fa3CcD,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0x908D676fC76864d3A1Aa161d9D581BF74Bf7b686,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x862563C7f619896ada7249FC5d7C956b0f0Fc94f,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0xB3EF5A313a4522243108f2EC827709A9948be905,​0x6968a989E0fb2D1725c7e2B5b8ae8A79706a03C2,​0xF4aDb9BA51Fde3EaeE89Ce9A60E99992611849fD,​0xF63246f4dF508EBa748DF25DAA8bd96816a668Ba,​0x1b25Cd78c96e5d311D322D93f59fEA85d9E45d1B,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x2d9E7f7887BB496592430ef62400dd9007925b88,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x32Cd1F7BdaE90B87E9b58d25d2ef7b09f6A9B548,​0x1c7ABF4fe3891f01048Dc3A6Cce2Fa272AAfb8C0,​0x3Ed3487EC330f4FF0793B7abab9DD0da040851A0,​0x839E279E912416EBE17860319F177cB10A145070,​0xB9A8dEae8115C7d7B8AED2CE4610C54e023E964F,​0xC4b2C58EdC2de7628A706b9e8B67264F1d43c6BB,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0xc095976BD18181f28626c5D48372DebD7a8Ce8d4,​0x9bd19fE06E5906d22Ed30bbd0578B664d222877F,​0x0aF6a3c73d0a132333562a3906ae6335783a2b3a,​0x37A7D5A1951c0B234156a1e25e94AB90a668C39e,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xa5c309ae3260dAB04BA1E94325a543D01772161D,​0x000000000025D4386F7FB58984CBe110AEe3A4c4,​0xD79d821EF646626430995f67885904856e43eE17,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a,​0xA5975974cAc3fEfd831E42BDd2fe84cb5eE3B3De,​0x90D1E63Fd61BeDEE4447Ca9398d0d15cdBd4dd42,​0x5D3F542634070284671b87ff25A7e7B008D75d69,Other
1568603177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56
1568669970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,
1568737700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60,,,,,,,,
1568803850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,4.00,,0.47
1568871705000,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91,,,,6.12,,,,
1569006694000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
1569074199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.98,,
1569142150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,4.81,,3.12,,
1569209597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,
1569276280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,
1569344903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,,8.00,,,,,7.31,,,,1.59,,4.00,,
1569412741000,,,4.32,,,,,,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80,,,,5.85,,,,,,,,,,,,,,,,,,,,,12.00,,,,3.55,,1.45,,0.39
1569480328000,,,6.26,,,,,,,,,,,,,,,4.72,,,,,,,,,,,,,,,,,12.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,4.00,,4.41
1569548219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,
1569615424000,,,1.52,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,
1569683184000,,,,,,,,,,,,,,,,,,,1.83,1.79,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,22.65,,,,,,,,
1569751196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1569817983000,,,,,,,,,,,,,,,,,,2.51,1.85,1.82,,,,,,,,,,,,,,,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,0.53
1569885879000,,,,,,,,,,,,,,,,,,,1.33,1.32,,,,,,,,,,,,,,,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50,,,,0.44
1569953471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
1570021093000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.20
1570088581000,,,,,,,,,,,,,,,,,,2.60,,,,,,,,,,,,,,,,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
1570156245000,,,,,,,,,,,,,,,,,,,2.02,1.97,,,,,,,,,,,,,10.00,,13.43,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,,,,,,4.00,,2.64
1570223512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,0.04
1570290984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570358020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,
1570424401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,
1570492273000,,,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,,,,0.04
1570560314000,,,,,,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,1.88,,4.00,,
1570628456000,,,2.25,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,0.89
1570696365000,,,3.25,,,,,,,,,,,,,,,,1.98,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89,,,,3.09,,,,0.65
1570764407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1570832121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1570900657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,
1570967603000,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1571036079000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571103316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1571171084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571239896000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,,,,,,,,,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
1571307873000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1571376291000,,,0.50,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
1571444011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571512073000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,0.01
1571579975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
1571648150000,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571716619000,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1571783991000,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,,,,,,,,,1.57,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
1571851268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,
1571920923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,1.17
1571990353000,,,0.75,,,,,,,,,,,,,,,,1.25,1.23,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,1.90
1572060724000,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80,,,,,,,,,,,,,,,,,,6.35,,,,5.53,,,,0.01
1572129485000,,,1.25,,,,,,,,,,,,,,,,0.60,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,6.99,,,,
1572198558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10,,,,0.04
1572267917000,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,
1572337649000,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
1572406531000,,,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,,,,0.06
1572476793000,,,2.45,,,,,,,,,,,,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572546064000,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572615810000,,,3.18,,,,,,,,,,,,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,0.50
1572684939000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,2.98,,,,0.01
1572754262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572822749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13
1572893104000,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572962724000,,,12.67,,,,,,,,,,,,,,,7.20,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,
1573031855000,,,2.00,,,,,,,,,,,,,,,2.45,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1573101222000,,,1.00,,,,,,,,,,,,,,,1.25,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,0.00
1573171451000,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,0.00
1573240765000,,,,,,,,,,,,,,,,,,2.52,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,,,,,,,,2.06
1573311556000,,,3.50,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,
1573382543000,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,,,,4.00,,,,0.03
1573455245000,,,15.15,,,,,,,,,,,,,,,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,,,,6.00,,,,0.06
1573527153000,,,2.53,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,
1573598526000,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.05,,,,5.96,,,,0.01
1573670409000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,0.07
1573742983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,1.94,,,,0.21
1573814675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1573886613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1573958177000,,,1.51,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574030120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11
1574102523000,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,3.04,,,,3.09,,,,0.88
1574175364000,,,,,,,,,,,,,,,,,,,2.65,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,
1574248216000,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574319702000,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,0.20
1574390894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,3.05,,,,,,,,0.09
1574463158000,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,0.04
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574606767000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1574677937000,,,,,,,,,,,,,,,,,,,,,,,,,6.63,0.01,,,,,,4.00,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,3.00,,3.07,,,,1.65,,,,0.42
1574753753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,
